energy_gev,unoscillated_numu_flux_per_gev_m2_pot,p_mumu_prem,p_mumu_constant_2p848,cc_xsec_1e38_cm2,selection_efficiency_proxy,selected_events_per_gev_per_pot
7.875,7.80268052e-13,0.7628491762456996,0.762745353943942,4.934736953802088,0.8912450000000001,6.306007957087261e-20
8.125,7.30640588e-13,0.776021093895495,0.7759212654719518,5.144710483808953,0.8925233333333333,6.271461104530666e-20
8.375,7.38519e-13,0.7881619680910091,0.788065993934573,5.392196778900018,0.8988891111111111,6.796102079400097e-20
8.625,7.03471676e-13,0.7993723208337626,0.7992800527150248,5.642305840617106,0.9034561249999999,6.905105302014426e-20
8.875,6.78884752e-13,0.8097413653920803,0.8096526510019202,5.8279335416324765,0.906224375,6.993645325016392e-20
9.125,6.33712664e-13,0.8193483808734414,0.8192630671103871,5.973314052705652,0.908992625,6.791216692587749e-20
9.375,6.45008024e-13,0.8282639216617379,0.8281818569856253,6.118186881397326,0.911760875,7.178743663370511e-20
9.625,6.3599622e-13,0.8365508771669269,0.8364719132570649,6.2543114028990585,0.91207825,7.310875488560071e-20
9.875,6.21484644e-13,0.8442653980175097,0.84418939091047,6.365924559058845,0.90994475,7.321444886075467e-20
10.125,5.76144732e-13,0.8514577043322663,0.8513845151739331,6.476266940449321,0.90781125,6.947457043566664e-20
10.375,5.63899328e-13,0.8581727906237738,0.8581022861329493,6.585369930685039,0.9056777500000001,6.952501418135781e-20
10.625,5.40661856e-13,0.8644510405152469,0.8643830932360195,6.798967226737118,0.90354425,6.91622956822785e-20
10.875,5.17648376e-13,0.8703287630252398,0.870263251422832,7.036743339218727,0.90141075,6.883725278964539e-20
11.125,5.135934e-13,0.8758386607695485,0.8757754692129704,7.276287485357326,0.8981330000000001,7.081168733444118e-20
11.375,4.91554268e-13,0.8810102391298166,0.8809492577931354,7.489591681550596,0.893711,6.982622533906723e-20
11.625,4.82190784e-13,0.8858701642535952,0.8858112889615506,7.647113278006445,0.889289,6.997458286640078e-20
11.875,4.56069796e-13,0.8904425767044869,0.8903857087379319,7.804484145481429,0.884867,6.755699513482043e-20
12.125,4.57070712e-13,0.8947493666462739,0.894694412523259,7.961707457691239,0.880445,6.905643182590651e-20
12.375,4.3633948e-13,0.8988104156445101,0.8987572868875885,8.107482846223832,0.876023,6.709730040977229e-20
12.625,4.18844444e-13,0.902643809470271,0.9025924223652642,8.243432603239217,0.871601,6.543436195805699e-20
12.875,4.09227776e-13,0.9062660256789177,0.9062163010333644,8.378836557553107,0.8671789999999999,6.49118770333076e-20
13.125,4.00796092e-13,0.9096920992262753,0.9096439621296086,8.513705308621686,0.86292925,6.452419551611633e-20
13.375,3.9379322e-13,0.9129357689294649,0.9128891485192497,8.646171342638272,0.8588517499999999,6.430746559655008e-20
13.625,3.75152812e-13,0.9160096072016669,0.9159644364369923,8.775719470261908,0.85477425,6.209452237990354e-20
13.875,3.62264008e-13,0.9189251351571243,0.9188813506007911,8.904684675413826,0.85069675,6.074485939730321e-20
14.125,3.50333352e-13,0.921692924901463,0.9216504665119617,9.033077462348901,0.8466192499999999,5.948432057223059e-20
14.375,3.4481408e-13,0.9243226905800142,0.9242815015134904,9.160907963430658,0.84254175,5.925833567953944e-20
14.625,3.25583354e-13,0.9268233695479537,0.9267833959701952,9.4109849018482,0.83846425,5.735743070331842e-20
14.875,3.16595204e-13,0.9292031948459677,0.92916438575529,9.662799507529074,0.83438675,5.713421793686551e-20
15.125,3.19467972e-13,0.9314697600145024,0.9314320670738754,9.916129759064367,0.8294171874999999,5.895521270842643e-20
15.375,3.136099852e-13,0.9336300771412912,0.9335934545211324,10.170950602155461,0.8235555625,5.907858158169905e-20
15.625,2.938387756e-13,0.9356906289293005,0.9356550331585709,10.398425949530136,0.8176939375,5.631325884008825e-20
15.875,2.8031874e-13,0.9376574154656598,0.9376228052928164,10.494259690020943,0.8118323125,5.3941790601171135e-20
16.125,2.50894732e-13,0.9395359962932707,0.9395023325559907,10.588991272138626,0.8059706875,4.84607016197196e-20
16.375,2.471277068e-13,0.9413315283110959,0.9412987738127274,10.68263778499002,0.8001090625,4.7896373341236696e-20
16.625,2.26093458e-13,0.943048799959026,0.9430169193547014,10.775215795815392,0.7942474375,4.395566507827625e-20
16.875,2.334930288e-13,0.9446922620998173,0.9446612217878507,10.866741373534929,0.7883858125000001,4.5521158047898184e-20
17.125,2.028065488e-13,0.94626605594717,0.94623582396901,11.11365071324543,0.7819333125,4.017284498346196e-20
17.375,2.030194484e-13,0.9477740383612618,0.9477445843065002,11.368875212717423,0.7748899375,4.0832960286875644e-20
17.625,1.872183612e-13,0.9492198047845144,0.9491910997023979,11.625427972072787,0.7678465625,3.821285778659342e-20
17.875,1.562257052e-13,0.950606710065326,0.9505787263821057,11.883290149472982,0.7608031875,3.234247772463433e-20
18.125,1.418871068e-13,0.9519378873877564,0.951910598828705,12.14244343017621,0.7537598125,2.9778410111644034e-20
18.375,1.424285676e-13,0.953216265497991,0.9531896470149707,12.34851134957013,0.7467164374999999,3.015572412648796e-20
18.625,1.327472544e-13,0.9544445844014195,0.9544186121043291,12.425445293482902,0.7396730625,2.805039127153899e-20
18.875,1.229040404e-13,0.9556254096797843,0.9556000607730463,12.501164967262888,0.7326296875,2.5911928836943907e-20
19.125,1.200126044e-13,0.9567611455670704,0.9567363982892837,12.575686454905112,0.7266649583333333,2.5275933434916443e-20
19.375,1.0869078e-13,0.9578540469017219,0.9578298804699248,12.649025419871574,0.7217788749999999,2.2896240061655994e-20
19.625,1.08015184e-13,0.9589062300669466,0.9588826246231184,12.721197121371816,0.7168927916666666,2.2753805407458513e-20
19.875,1.0587099e-13,0.9599196830105536,0.9598966195730361,12.801321686220517,0.7120067083333333,2.2313189892258575e-20
20.125,1.024652768e-13,0.9608962744369699,0.96087373485321,12.927108351671997,0.707120625,2.1679986856588947e-20
20.375,1.155317864e-13,0.9618377622422931,0.9618157291458338,13.052460012963804,0.7022345416666667,2.453515270069819e-20
20.625,9.36955356e-14,0.9627458012675757,0.9627242580364654,13.177382007839828,0.6973484583333334,1.996734888796393e-20
