signal_mean,background_mean,average_signal_events_per_slot,binary_ook_capacity_bits_per_slot_p_on_le_0p5,capacity_optimal_p_on,ook_ber,repetition5_ber_per_payload_bit,scheme,ber,raw_bits_per_slot,average_signal_events_per_raw_bit,error_metric,ppm_symbol_error,ppm_raw_bits_per_slot
0.02140356534824726,0.01,0.01070178267412363,0.004214575227137864,0.4544866522642529,0.4895172857578941,0.4517296989323447,OOK,0.4895172857578941,1.0,0.01070178267412363,bit-error probability,,
0.02140356534824726,0.01,0.01070178267412363,0.004214575227137864,0.4544866522642529,0.4895172857578941,0.4517296989323447,repeat-5,0.4517296989323447,0.2,0.05350891337061815,bit-error probability,,
0.02140356534824726,0.01,0.005350891337061815,0.004214575227137864,0.4544866522642529,0.4895172857578941,0.4517296989323447,PPM-4,,0.5,0.01070178267412363,symbol-error probability,0.7344269952183504,0.5
0.02140356534824726,0.01,0.0026754456685309075,0.004214575227137864,0.4544866522642529,0.4895172857578941,0.4517296989323447,PPM-8,,0.375,0.0071345217827490865,symbol-error probability,0.8571826414717041,0.375
0.02429781065806129,0.01,0.012148905329030645,0.005115150176671908,0.4513438065502697,0.48811692922570604,0.4455900325404814,OOK,0.48811692922570604,1.0,0.012148905329030645,bit-error probability,,
0.02429781065806129,0.01,0.012148905329030645,0.005115150176671908,0.4513438065502697,0.48811692922570604,0.4455900325404814,repeat-5,0.4455900325404814,0.2,0.06074452664515322,bit-error probability,,
0.02429781065806129,0.01,0.006074452664515322,0.005115150176671908,0.4513438065502697,0.48811692922570604,0.4455900325404814,PPM-4,,0.5,0.012148905329030645,symbol-error probability,0.7323461349077098,0.5
0.02429781065806129,0.01,0.003037226332257661,0.005115150176671908,0.4513438065502697,0.48811692922570604,0.4455900325404814,PPM-8,,0.375,0.008099270219353763,symbol-error probability,0.8548013050166828,0.375
0.02758342328341773,0.01,0.013791711641708865,0.006186880360556683,0.4481639740162355,0.4865321172411568,0.43872698206699806,OOK,0.4865321172411568,1.0,0.013791711641708865,bit-error probability,,
0.02758342328341773,0.01,0.013791711641708865,0.006186880360556683,0.4481639740162355,0.4865321172411568,0.43872698206699806,repeat-5,0.43872698206699806,0.2,0.06895855820854432,bit-error probability,,
0.02758342328341773,0.01,0.006895855820854432,0.006186880360556683,0.4481639740162355,0.4865321172411568,0.43872698206699806,PPM-4,,0.5,0.013791711641708865,symbol-error probability,0.7299910377311827,0.5
0.02758342328341773,0.01,0.003447927910427216,0.006186880360556683,0.4481639740162355,0.4865321172411568,0.43872698206699806,PPM-8,,0.375,0.00919447442780591,symbol-error probability,0.8521059637180921,0.375
0.031313324922126906,0.01,0.015656662461063453,0.007457629078113038,0.44496715023921624,0.48473930246036523,0.4310713222767958,OOK,0.48473930246036523,1.0,0.015656662461063453,bit-error probability,,
0.031313324922126906,0.01,0.015656662461063453,0.007457629078113038,0.44496715023921624,0.48473930246036523,0.4310713222767958,repeat-5,0.4310713222767958,0.2,0.07828331230531727,bit-error probability,,
0.031313324922126906,0.01,0.007828331230531727,0.007457629078113038,0.44496715023921624,0.48473930246036523,0.4310713222767958,PPM-4,,0.5,0.015656662461063453,symbol-error probability,0.7273266531699529,0.5
0.031313324922126906,0.01,0.003914165615265863,0.007457629078113038,0.44496715023921624,0.48473930246036523,0.4310713222767958,PPM-8,,0.375,0.010437774974042302,symbol-error probability,0.8490564358866308,0.375
0.035547593480471075,0.01,0.017773796740235537,0.008958996812713425,0.441773774832622,0.48271214670070856,0.4225517365881782,OOK,0.48271214670070856,1.0,0.017773796740235537,bit-error probability,,
0.035547593480471075,0.01,0.017773796740235537,0.008958996812713425,0.441773774832622,0.48271214670070856,0.4225517365881782,repeat-5,0.4225517365881782,0.2,0.08886898370117768,bit-error probability,,
0.035547593480471075,0.01,0.008886898370117769,0.008958996812713425,0.441773774832622,0.48271214670070856,0.4225517365881782,PPM-4,,0.5,0.017773796740235537,symbol-error probability,0.7243137643085795,0.5
0.035547593480471075,0.01,0.004443449185058884,0.008958996812713425,0.441773774832622,0.48271214670070856,0.4225517365881782,PPM-8,,0.375,0.011849197826823692,symbol-error probability,0.8456077493998307,0.375
0.04035443075417107,0.01,0.020177215377085535,0.010726733243668733,0.4386047519292946,0.480421252764722,0.4130962130136802,OOK,0.480421252764722,1.0,0.020177215377085535,bit-error probability,,
0.04035443075417107,0.01,0.020177215377085535,0.010726733243668733,0.4386047519292946,0.480421252764722,0.4130962130136802,repeat-5,0.4130962130136802,0.2,0.10088607688542767,bit-error probability,,
0.04035443075417107,0.01,0.010088607688542767,0.010726733243668733,0.4386047519292946,0.480421252764722,0.4130962130136802,PPM-4,,0.5,0.020177215377085535,symbol-error probability,0.7209085837445778,0.5
0.04035443075417107,0.01,0.005044303844271384,0.010726733243668733,0.4386047519292946,0.480421252764722,0.4130962130136802,PPM-8,,0.375,0.013451476918057023,symbol-error probability,0.8417096727821495,0.375
0.04581126096166911,0.01,0.022905630480834556,0.012801191076553139,0.4354808915716937,0.47783388956534917,0.40263394153962895,OOK,0.47783388956534917,1.0,0.022905630480834556,bit-error probability,,
0.04581126096166911,0.01,0.022905630480834556,0.012801191076553139,0.4354808915716937,0.47783388956534917,0.40263394153962895,repeat-5,0.40263394153962895,0.2,0.11452815240417277,bit-error probability,,
0.04581126096166911,0.01,0.011452815240417278,0.012801191076553139,0.4354808915716937,0.47783388956534917,0.40263394153962895,PPM-4,,0.5,0.022905630480834556,symbol-error probability,0.7170623380412018,0.5
0.04581126096166911,0.01,0.005726407620208639,0.012801191076553139,0.4354808915716937,0.47783388956534917,0.40263394153962895,PPM-8,,0.375,0.015270420320556371,symbol-error probability,0.8373062314332367,0.375
0.052005977823915354,0.01,0.026002988911957677,0.015227824846735322,0.43242288868860246,0.47491371730215787,0.39109780498370506,OOK,0.47491371730215787,1.0,0.026002988911957677,bit-error probability,,
0.052005977823915354,0.01,0.026002988911957677,0.015227824846735322,0.43242288868860246,0.47491371730215787,0.39109780498370506,repeat-5,0.39109780498370506,0.2,0.13001494455978838,bit-error probability,,
0.052005977823915354,0.01,0.013001494455978839,0.015227824846735322,0.43242288868860246,0.47491371730215787,0.39109780498370506,PPM-4,,0.5,0.026002988911957677,symbol-error probability,0.7127208503840812,0.5
0.052005977823915354,0.01,0.006500747227989419,0.015227824846735322,0.43242288868860246,0.47491371730215787,0.39109780498370506,PPM-8,,0.375,0.01733532594130512,symbol-error probability,0.8323352196327183,0.375
0.05903836027749967,0.01,0.029519180138749834,0.018057737011792706,0.42945085019088647,0.4716205221726399,0.378427552173364,OOK,0.4716205221726399,1.0,0.029519180138749834,bit-error probability,,
0.05903836027749967,0.01,0.029519180138749834,0.018057737011792706,0.42945085019088647,0.4716205221726399,0.378427552173364,repeat-5,0.378427552173364,0.2,0.14759590069374917,bit-error probability,,
0.05903836027749967,0.01,0.014759590069374917,0.018057737011792706,0.42945085019088647,0.4716205221726399,0.378427552173364,PPM-4,,0.5,0.029519180138749834,symbol-error probability,0.7078241350893695,0.5
0.05903836027749967,0.01,0.007379795034687458,0.018057737011792706,0.42945085019088647,0.4716205221726399,0.378427552173364,PPM-8,,0.375,0.019679453425833222,symbol-error probability,0.8267277234241625,0.375
0.06702167962416428,0.01,0.03351083981208214,0.021348272336924892,0.42658451404614856,0.4679099735654345,0.3645737280655762,OOK,0.4679099735654345,1.0,0.03351083981208214,bit-error probability,,
0.06702167962416428,0.01,0.03351083981208214,0.021348272336924892,0.42658451404614856,0.4679099735654345,0.3645737280655762,repeat-5,0.3645737280655762,0.2,0.1675541990604107,bit-error probability,,
0.06702167962416428,0.01,0.01675541990604107,0.021348272336924892,0.42658451404614856,0.4679099735654345,0.3645737280655762,PPM-4,,0.5,0.03351083981208214,symbol-error probability,0.7023060226710596,0.5
